,min0,max0,min1,max1
Natural_y,0.0688,0.4327,0.6294,0.8654
XSy,0.0911,0.6245,0.8587,1.0799
Sy,0.0787,0.5056,0.7304,0.9551
My,0.0664,0.4174,0.6071,0.8253
Ly,0.0578,0.3467,0.5118,0.7347
Toe_y,0.3374,0.1534,0.6441,0.4703
Heel_y,0.0000,0.0000,0.0000,0.0000
Ascending_y,0.6446,0.2998,1.0644,0.7346
Descending_y,0.0000,0.0000,0.0000,0.0000
Natural_a,0.0771,0.4953,0.7265,0.9466
XSa,0.0973,0.6669,0.9587,1.1949
Sa,0.0769,0.5050,0.7246,0.9442
Ma,0.0685,0.4206,0.6357,0.8509
La,0.0598,0.2478,0.5213,0.7265
Toe_a,0.3943,0.1753,0.7011,0.5039
Heel_a,0.0000,0.0000,0.0000,0.0000
Ascending_a,0.7008,0.3004,1.2181,0.8677
Descending_a,0.0000,0.0000,0.0000,0.0000
